Product,Min_optimal_temp,Max_optimal_temp,Freezing Point,Min_optimal_humidity,Max_optimal_humidity,Appoximate storage life,Oxygen_Conc%,CO2_Conc%,Price per lb,Quantity in lb/oz
Pears,31,32,30.3,90,95,4 weeks,2.5,0.5,2,14
Peas_ green,29,31,29.2,90,95,7 months,2.5,0.5,2.99,20
Peas_ southern,32,32,30.9,95,98,2 weeks,2.5,0.5,4.99,20
Peppers_ hot chili,40,41,31,95,95,8 days,2.5,0.5,3.99,5
Peppers_ sweet,32,50,29.5,60,70,1-2 weeks,4,0.5,2.49,10
Persimmons,45,55,30.7,90,95,3 weeks,2.5,0.5,2.99,20
Pineapples,32,35,31.5,90,95,1-2 days,2.5,0.5,3.64,20
Plums,50,55,32,85,95,3-5 days,3.5,0.5,4,20
Pomegranates,41,32,30.5,90,95,5 weeks,2.5,0.5,2,10
Potatoes,41,50,29.5,90,95,1 week,4,1,4.29,10
Precut Fruit,45,50,NA,90,95,3-5 days,4,0.5,5,10
Precut Vegetables,32,36,31,90,95,2-3 days,2.5,0.5,4,12
Prunes,32,36,28.5,90,95,6 months,2.5,0.5,6.99,12
Pumpkins,31,32,30.5,90,95,5 weeks,2.5,0.5,4.29,14
Quinces,50,55,30.5,65,70,3 months,3,0.5,2,5
Quinces,31,32,28.4,90,90,3 months,2.5,0.5,5.26,4
Radishes_ spring,32,32,30.7,95,100,4 weeks,2.5,0.5,5,4
Radishes_ winter,32,32,28.5,95,100,4 months,2.5,0.5,6,15
Raspberries,31,32,30,90,95,3 days,2.5,0.5,4.99,15
Rhubarb,32,32,30.3,95,100,4 weeks,2.5,0.5,0.69,15
Rutabagas,32,32,30,98,100,6 months,2.5,0.5,2,20
Salad Mixes,32,35,29.5,90,95,7-10 days,2.5,0.5,1,10
Salsify,32,32,30,95,98,4 months,2.5,0.5,2,10
Spinach,32,32,31.5,95,100,14 days,1.5,0.5,3.49,10
Sprouts,32,35,29,90,95,6 weeks,2.5,0.5,0.49,15
Squashes_ summer,41,50,31.1,95,95,2 weeks,2.5,0.5,3.98,15
Squashes_ winter,50,50,30.5,50,70,6 months,2.5,0.5,3,13
Strawberries,32,32,30.6,90,95,7 days,2.5,0.5,0.5,12
Sweet Potatoes,55,60,29.7,85,90,7 months,5,0.5,2,15
Tangerines,55,70,31,90,95,3 weeks,2.5,1,2.49,17
Tomatoes_ mature green,55,70,31.1,90,95,7 days,2.5,3,6,18
Tomatoes_ ripe,32,32,31.7,95,100,14 days,2.5,0.5,4.29,15
Turnip greens,32,32,30.1,95,95,5 months,2.5,0.5,2,20
Turnips,32,32,31.4,95,100,3 weeks,2.5,0.5,2.49,10
Watercress,55,70,29.3,85,95,12 months,0,0.5,1,4
Watermelon,65,70,NA,90,95,5 months,4,0.25,0,5
Basmati Rice,65,70,NA,90,95,1 year,3,5,5,15
Brown Rice ,65,70,NA,95,100,3-6 months,1,0.1,6,14
Wheat Flour ,65,70,NA,85,95,6 months,2.5,6,3.99,20
All-purpose flour,65,70,NA,85,95,8 months,1,0.5,2.99,20
Rice Flour,65,70,NA,90,95,10 months,2.5,0.5,4.29,20
Pasta,65,70,NA,95,95,9 days,2.5,1,3,20
Noodles ,65,70,NA,95,100,7 days,3,0.5,6,10
Vermicelli,65,70,NA,98,100,3 days,2.5,0.5,2,12
Urad Dal,65,70,NA,90,95,14 days,2.5,0.5,4,4
Toor Dal,65,70,NA,95,100,5 weeks,2.5,0.5,5.2,4
Moong Dal,65,70,NA,90,95,3-4 months,3.5,0.5,3,15
Channa Dal,65,70,NA,90,95,3 months,2.5,0.5,2,15
Chickpeas,65,70,NA,95,100,6 weeks,2.5,2,3.29,15
Dried Green Peas,65,70,NA,98,100,6 months,1,0.5,3,20
Green Gram,65,70,NA,98,100,2-3 days,2.5,3,4.25,10
Black Eye Beans,65,70,NA,90,95,2-3 years,2.5,0.5,2.99,10
Frozen Green peas,31,33,NA,95,100,6 weeks,3,0.5,2.59,10
Frozen Corn,31,33,NA,98,100,9 months,2.5,0.5,5,15
 Vegetable Oil,65,70,NA,98,100,4 weeks,3,3,6,15
Groundnut Oil,65,70,NA,95,98,3 months,2.5,0.5,3.99,13
Sesame Oil,65,70,NA,98,100,8 months,2.5,1,2,12
Coconut Oil,65,70,NA,97,99,14 days,5,0.5,2.99,15
Olive Oil,65,70,NA,95,100,20 months,2.5,0.5,4,20
Ghee,65,70,NA,90,95,7 days,2.5,0.5,4.29,17
Butter,32,38,NA,90,95,3 weeks,2.5,0.5,2.5,18
Salt,65,70,NA,90,95,5 years,2.5,2,3,10
Crystal Salt,65,70,NA,90,95,4 weeks,2.5,0.5,3,10
Sugar,65,70,NA,95,100,2 years,2.5,0.5,2,10
Jaggery,65,70,NA,90,95,8 months,2.5,0.5,4.29,10
Palm Jaggery,65,70,NA,80,85,14 days,2.5,0.5,4,10
Tea,65,70,NA,95,100,8 days,2.5,0.5,2,12
Coffee,65,70,NA,95,98,3-5 months,2.5,3,3,10
Health Drinks,65,70,NA,90,95,14 days,5,0.5,2.49,20
Chocolate Syrup/ Caramel Syrup / Strawberry Syrup,65,70,NA,95,95,4 weeks,2.5,3,4,10
Tamarind,65,70,NA,90,95,3 months,2.5,0.5,5.2,20
Asafoetida,65,70,NA,90,95,2 weeks,2.5,0.5,3,20
Dry Red Chilies,65,70,NA,90,95,3 weeks,2.5,0.5,2,20
Mustard Seeds,65,70,NA,95,100,3-4 years,2.5,0.5,3.29,10
Cumin Seeds,65,70,NA,90,95,3 weeks,2.5,0.5,3,10
Fennel Seeds,65,70,NA,95,100,3-4 years,2.5,0.5,4.25,10
Fenugreek Seeds,65,70,NA,90,95,7 months,2.5,2,2.99,12
Peppercorns,65,70,NA,65,70,4 months,2.5,2,2.59,12
Poppy Seeds,65,70,NA,65,70,4 weeks,4,2,5,14
Sesame Seeds ,65,70,NA,90,95,3 months,4,0.5,6,5
Carom Seeds,65,70,NA,90,95,8 weeks,4,0.5,3.99,4
Dry Ginger,65,70,NA,85,85,3-4 years,2.5,3,2,4
Cardamom,65,70,NA,90,95,3-4 years,2,0.5,2.99,15
Cinnamom,65,70,NA,90,95,14 days,2.5,0.5,4,15
Star anise,65,70,NA,95,100,1 year,2.5,4,4.29,15
Cloves,65,70,NA,90,95,1-2 years,2.5,0.5,2.5,20
Bay Leaf,65,70,NA,90,95,12 months,2.5,3,3,10
Ginger Garlic Paste,32,38,NA,95,100,2-3 weeks,2.5,0.5,4.29,15
Turmeric Powder,65,70,NA,90,95,3-4 years,2.5,3,4,15
Chicken Masala,65,70,NA,98,100,3 months,2.5,0.5,3,12
Red Chilli Powder,65,70,NA,95,100,3-4 years,2.5,0.5,2.49,15
Coriander Powder,65,70,NA,90,95,3 weeks,2.5,0.5,4,20
Garam Masala Powder,65,70,NA,98,100,6 months,2.5,2,5.2,17
Black Pepper Powder,65,70,NA,90,95,3-4 months,2.5,0.5,3,18
Cumin Powder,65,70,NA,90,95,3-4 years,2.5,0.5,2,10
 Nigella Seeds,65,70,NA,85,95,4 years,2.5,0.5,5.75,10
Soy Sauce,32,38,NA,95,95,3 years,2.5,0.5,2.99,12
Tomato Ketchup,32,38,NA,90,95,4 weeks,2.5,0.5,2.59,10
Chilli Sauce,32,38,NA,90,95,10 days,2.5,0.5,5,20
Vinegar,65,70,NA,90,95,1 years,2.5,0.5,6,10
Mayonnaise,32,38,NA,65,75,3-4 months,2.5,0.5,3.99,20
Jam ,32,38,NA,90,95,12-24 months,2.5,0.5,2,20
Cheese Spread,32,38,NA,85,95,3 months,2.5,0.5,2.99,20
Cheese Slices,32,38,NA,95,100,6 months,2.5,0.5,4,10
Cheese Block,32,38,NA,98,100,4 weeks,2.5,0.5,4.29,10
Plain Curd ,32,38,NA,90,95,7 months,2.5,0.5,2.5,10
Paneer,32,38,NA,95,98,8 days,2.5,0.5,3,12
Fresh Cream,32,38,NA,95,95,7-10 days,2.5,0.5,2,14
Honey,65,70,NA,60,70,3 weeks,2.5,0.5,4.29,5
Cashews,65,70,NA,90,95,6 months,4,0.5,4,4
Raisins,65,70,NA,90,95,6-12 months,2.5,0.5,2,4
Almonds,65,70,NA,85,95,5 weeks,2.5,0.5,3,15
Dates,65,70,NA,90,95,6-12 months,3.5,0.5,2.49,15
Peanuts,65,70,NA,90,95,4 weeks,2.5,1,4,15
 pista,65,70,NA,90,95,6 months,4,0.5,5.2,20
 dried  gooseberries,65,70,NA,90,95,1 years,4,0.5,3,10
Yeast,32,38,NA,90,95,5 weeks,2.5,0.5,2,10
Baking Soda ,65,70,NA,90,95,3 months,2.5,0.5,3.29,10
Baking Powder,65,70,NA,65,70,3 months,2.5,0.5,3,15
Cocoa Powder,65,70,NA,90,90,3 years,3,0.5,4.25,15
